locality,bhk,area_sqft,furnishing,floor,total_floors,building_age_yrs,tenant_preferred,gym,swimming_pool,power_backup,lift,security,parking,club_house,dist_metro_km,dist_techpark_km,monthly_rent
BTM Layout,2,875,Semi-Furnished,2,10,3,Any,1,1,0,1,0,1,0,2.0,2.8,32500
Begur,3,1333,Unfurnished,4,5,3,Bachelor,1,1,0,0,0,0,0,4.5,4.5,21000
Bellandur,2,953,Fully Furnished,4,10,6,Any,0,0,1,0,0,1,0,4.1,0.8,22500
Whitefield,2,1156,Semi-Furnished,2,5,1,Bachelor,0,1,1,1,0,0,0,4.9,0.5,30500
Sadashivanagar,2,827,Unfurnished,4,20,10,Bachelor,1,1,1,1,1,1,0,3.6,6.0,53500
Sadashivanagar,3,1376,Fully Furnished,6,7,3,Family,0,1,1,1,1,1,0,3.4,5.8,104500
Koramangala,3,1585,Semi-Furnished,0,7,10,Family,0,0,1,1,0,1,0,1.0,1.9,78000
Hennur,1,694,Unfurnished,2,10,3,Bachelor,0,0,1,0,1,0,0,4.5,6.6,9500
Whitefield,2,1020,Semi-Furnished,5,5,15,Bachelor,0,1,1,1,1,0,0,4.7,0.2,32500
Sarjapur Road,1,434,Unfurnished,5,15,3,Bachelor,1,0,0,1,0,0,0,3.7,1.5,17500
Koramangala,2,1209,Fully Furnished,0,3,1,Family,0,0,1,0,1,0,1,1.3,1.1,52000
Begur,2,1015,Fully Furnished,6,7,10,Family,0,0,0,0,0,0,0,4.6,2.8,17000
Electronic City,2,931,Fully Furnished,7,7,10,Family,0,0,0,0,0,0,0,5.8,0.5,19500
Vasanth Nagar,2,878,Semi-Furnished,3,20,1,Family,1,0,1,1,1,1,0,1.1,3.7,56000
Jayanagar,2,972,Semi-Furnished,5,5,6,Family,0,0,0,1,1,1,0,0.9,5.3,41000
Jayanagar,2,935,Fully Furnished,0,5,3,Family,0,0,1,1,1,0,0,1.4,4.9,33500
HSR Layout,2,1010,Unfurnished,0,15,15,Family,0,1,0,1,0,1,0,2.2,1.8,26000
Marathahalli,2,1028,Semi-Furnished,5,5,3,Any,0,0,1,0,0,0,0,3.9,0.6,31000
Banashankari,1,565,Semi-Furnished,1,3,6,Family,0,0,0,1,0,0,1,3.6,6.6,14500
HSR Layout,3,1429,Unfurnished,3,10,3,Any,1,0,0,0,1,1,1,1.9,1.0,46000
Whitefield,2,948,Semi-Furnished,0,15,3,Family,0,0,0,1,1,1,0,4.6,0.5,29500
Indiranagar,2,911,Fully Furnished,9,10,6,Any,0,0,1,1,1,1,0,0.8,3.7,71000
HSR Layout,2,792,Fully Furnished,6,10,15,Bachelor,0,1,0,0,0,0,0,2.9,1.8,38500
BTM Layout,2,1001,Unfurnished,0,5,6,Family,0,1,0,1,1,1,0,2.2,2.6,22000
Banashankari,1,597,Unfurnished,5,5,6,Bachelor,0,1,0,0,1,0,1,3.2,6.2,15500
Mahadevapura,2,895,Unfurnished,4,10,3,Family,0,0,0,1,0,0,0,3.5,2.2,20500
Jayanagar,3,1358,Fully Furnished,3,7,10,Bachelor,0,0,0,1,0,0,0,1.5,5.1,53500
Marathahalli,2,1094,Unfurnished,1,7,3,Family,0,0,0,1,0,1,1,4.0,1.2,19000
Whitefield,2,752,Fully Furnished,0,7,6,Any,1,1,0,0,1,0,0,4.5,0.2,36000
Koramangala,2,1062,Unfurnished,1,7,6,Bachelor,0,0,1,1,1,1,0,0.8,1.4,43500
Whitefield,1,501,Semi-Furnished,0,5,6,Family,1,0,0,0,1,0,0,4.3,0.3,17000
Jayanagar,2,929,Semi-Furnished,2,5,6,Any,0,0,0,1,1,1,1,2.1,5.5,30000
Koramangala,3,1584,Fully Furnished,2,5,3,Family,0,0,1,1,1,0,0,1.2,2.1,95000
Bannerghatta Rd,1,515,Unfurnished,1,7,10,Any,1,0,0,1,1,1,1,4.5,4.6,13000
Begur,2,998,Semi-Furnished,1,5,1,Bachelor,0,0,0,0,1,0,0,5.4,3.5,15500
Electronic City,2,808,Unfurnished,3,7,20,Any,0,0,0,0,1,0,0,5.3,0.2,9000
HSR Layout,2,935,Fully Furnished,3,7,10,Family,0,0,0,1,1,1,0,2.4,1.7,39500
Indiranagar,3,1690,Fully Furnished,7,15,10,Any,1,0,1,0,1,1,0,0.6,4.0,99500
Sarjapur Road,1,499,Unfurnished,2,10,6,Any,0,0,0,1,0,1,0,4.0,1.2,17500
Banashankari,2,979,Fully Furnished,2,3,6,Family,0,1,1,1,1,0,0,3.6,5.7,24500
Indiranagar,1,579,Semi-Furnished,2,5,10,Family,0,0,1,1,1,0,0,1.4,4.4,37000
Yelahanka,3,1365,Unfurnished,1,5,6,Family,0,0,0,0,0,1,1,4.1,7.8,19000
Koramangala,1,654,Semi-Furnished,11,15,10,Any,0,0,0,1,1,1,0,1.2,2.5,29000
Bannerghatta Rd,2,941,Unfurnished,3,3,1,Family,1,1,1,0,1,0,0,4.2,4.0,24000
HSR Layout,2,930,Fully Furnished,3,7,15,Bachelor,1,0,1,1,1,0,1,2.9,1.9,37000
Sarjapur Road,2,1029,Fully Furnished,5,10,10,Family,1,0,0,1,1,1,1,3.8,1.3,27500
BTM Layout,2,1094,Unfurnished,4,10,3,Family,1,1,1,1,0,1,0,2.3,3.0,25500
Marathahalli,2,856,Semi-Furnished,1,5,10,Bachelor,0,0,0,0,1,0,0,3.5,0.2,27000
Marathahalli,2,1054,Fully Furnished,1,3,10,Any,0,0,1,0,1,1,0,3.2,0.7,27500
Jayanagar,2,955,Fully Furnished,8,10,1,Bachelor,1,1,1,1,0,1,1,1.2,4.7,44500
Begur,1,641,Semi-Furnished,1,20,10,Any,0,0,0,0,0,0,0,4.6,3.5,7000
Mahadevapura,2,917,Fully Furnished,5,10,1,Bachelor,1,1,0,0,0,0,0,3.6,2.1,30000
Bannerghatta Rd,2,971,Semi-Furnished,4,10,6,Family,0,0,0,0,0,0,0,4.4,4.1,21500
Hennur,2,809,Semi-Furnished,1,7,6,Family,1,0,0,1,1,1,0,5.0,6.5,19500
Whitefield,2,874,Fully Furnished,4,7,10,Bachelor,1,0,0,1,0,0,0,4.3,1.4,41000
Bannerghatta Rd,3,1279,Semi-Furnished,3,3,10,Any,1,0,0,1,0,0,0,3.9,4.1,26000
Indiranagar,2,972,Semi-Furnished,19,20,3,Any,1,0,1,1,1,1,0,1.0,3.1,59000
Jayanagar,1,545,Semi-Furnished,4,5,3,Family,1,0,1,1,1,0,0,1.9,3.7,24500
Koramangala,1,583,Fully Furnished,7,10,20,Family,1,0,0,1,1,1,0,1.2,2.6,30500
BTM Layout,3,1203,Fully Furnished,2,7,15,Family,0,0,0,0,0,1,0,2.7,2.2,39000
JP Nagar,2,1104,Semi-Furnished,0,3,6,Any,0,1,0,1,0,0,0,3.2,5.1,24000
HSR Layout,1,569,Semi-Furnished,1,3,6,Any,1,1,0,1,1,0,0,2.5,2.7,27000
Electronic City,2,739,Semi-Furnished,3,5,15,Any,1,0,1,1,0,0,0,5.9,0.5,14000
BTM Layout,2,985,Semi-Furnished,9,20,10,Family,0,0,1,0,1,0,0,2.5,3.2,28000
HSR Layout,2,1005,Unfurnished,5,7,3,Bachelor,0,0,0,0,1,0,0,2.9,1.2,29500
Marathahalli,2,1005,Fully Furnished,4,5,1,Bachelor,0,0,0,0,1,1,0,3.7,1.7,39500
Sadashivanagar,1,583,Semi-Furnished,3,3,1,Family,1,0,1,0,0,1,0,3.4,6.3,31500
Electronic City,3,1692,Semi-Furnished,0,5,10,Bachelor,1,0,1,0,0,1,0,5.5,0.2,22000
Indiranagar,2,939,Unfurnished,2,3,15,Family,0,1,1,1,0,1,1,0.7,3.1,42500
Attibele,2,969,Unfurnished,0,5,15,Family,0,1,0,0,1,0,0,8.1,1.9,12000
Mahadevapura,2,1110,Fully Furnished,13,20,3,Any,0,0,1,0,0,0,0,3.4,2.5,28000
Jayanagar,2,884,Semi-Furnished,0,5,3,Any,0,1,1,1,0,1,0,2.1,4.0,34000
Koramangala,2,1001,Unfurnished,3,5,6,Bachelor,0,1,1,0,1,0,0,1.2,1.8,42500
Electronic City,2,882,Semi-Furnished,3,5,15,Bachelor,0,0,1,0,1,0,0,5.6,0.2,18000
Sarjapur Road,2,916,Semi-Furnished,2,5,20,Family,0,0,1,1,1,0,0,3.6,1.0,23000
Bellandur,3,1211,Unfurnished,7,15,3,Any,0,1,0,1,1,1,0,3.6,1.7,32000
Mahadevapura,3,1618,Semi-Furnished,0,10,1,Any,1,0,1,1,0,0,0,3.4,1.5,31000
Indiranagar,1,598,Semi-Furnished,0,3,1,Any,1,0,1,0,1,0,0,1.1,2.5,26500
BTM Layout,1,630,Semi-Furnished,10,10,6,Any,1,0,1,1,1,1,0,2.2,2.8,23500
Indiranagar,3,1573,Semi-Furnished,0,3,3,Family,1,1,1,1,1,1,0,0.5,4.0,85500
Hennur,2,861,Semi-Furnished,9,10,6,Family,0,1,0,0,0,0,0,4.3,7.5,19500
Whitefield,3,1680,Fully Furnished,13,20,10,Bachelor,1,1,1,1,1,0,0,4.3,0.4,43000
BTM Layout,1,686,Semi-Furnished,1,20,15,Family,1,0,1,1,1,1,0,2.3,1.7,23000
Koramangala,2,1026,Unfurnished,2,3,20,Any,1,1,0,1,1,1,0,1.1,2.6,34000
BTM Layout,2,988,Unfurnished,11,15,15,Family,1,0,0,1,1,0,0,2.3,2.1,23500
BTM Layout,2,912,Semi-Furnished,3,5,10,Family,0,0,1,1,1,0,0,1.8,3.1,23000
Bellandur,2,985,Fully Furnished,7,10,6,Family,0,0,0,0,0,1,0,3.4,0.8,25500
Whitefield,1,503,Unfurnished,10,10,3,Any,0,0,0,1,1,1,0,4.2,1.1,15500
Hennur,2,1178,Fully Furnished,10,15,6,Family,0,0,0,0,0,0,1,5.0,7.2,20500
Yelahanka,2,1029,Unfurnished,5,7,15,Bachelor,0,0,0,0,1,1,0,4.1,7.3,16500
Indiranagar,2,996,Semi-Furnished,1,7,10,Bachelor,1,1,1,1,1,1,1,0.8,3.1,64000
Bellandur,3,1369,Fully Furnished,9,10,10,Family,1,0,1,0,1,0,0,3.9,1.0,37000
Mahadevapura,2,882,Semi-Furnished,12,15,6,Bachelor,0,0,0,0,1,1,0,2.7,1.7,20000
Marathahalli,3,1305,Semi-Furnished,2,7,10,Any,0,0,1,0,1,0,0,3.2,0.4,31000
Mahadevapura,1,427,Unfurnished,4,5,6,Bachelor,0,0,1,0,0,0,0,3.5,1.6,10500
Yelahanka,2,1032,Fully Furnished,10,10,3,Any,0,1,1,0,0,0,0,3.6,8.2,24000
Marathahalli,3,1200,Unfurnished,5,5,1,Family,0,0,0,1,0,1,0,3.0,0.5,36000
JP Nagar,1,676,Fully Furnished,1,7,6,Family,0,0,1,0,1,1,1,2.8,5.5,22500
Koramangala,1,595,Unfurnished,4,15,10,Any,0,1,1,1,1,1,0,1.0,1.3,25000
